Axial,Tangential,Radial,fault
-1.22,4.31,10.04,1
-1.84,-0.39,8.9,1
-0.9,-0.82,9.96,1
0.27,-0.27,9.65,1
-2.12,-0.78,12.71,1
-2.04,-0.27,11.53,1
-0.86,1.37,11.02,1
-1.92,2.79,10.36,1
-1.92,2,10.28,1
-1.33,0.9,11.65,1
0.51,0.04,9.34,1
-2.2,-3.33,8.63,1
-0.94,-3.14,8.32,1
0.12,-0.08,9.14,1
0,3.18,9.18,1
-1.45,2,11.65,1
-0.82,-0.27,12.94,1
-0.43,2.75,11.61,1
-2.98,2.39,11.65,1
-2.16,0.47,12.43,1
0.78,1.84,8.87,1
1.06,0.78,9.1,1
-1.92,0.35,11.96,1
-3.45,0.31,11.49,1
-2.71,1.29,12,1
-1.73,2.39,10.75,1
-2.82,3.06,13.34,1
-3.26,0.43,13.22,1
-0.9,-0.12,10.16,1
0.2,0.59,9.14,1
-1.57,0.16,9.57,1
-0.16,0.08,8.83,1
0.51,1.69,9.41,1
-1.22,-1.41,10.08,1
0.27,0.2,8.63,1
0.39,2.55,9.18,1
-1.73,1.22,10.24,1
-1.73,-1.45,10.16,1
-0.2,-0.04,9.34,1
-1.49,-0.39,9.18,1
0.16,0.71,8.79,1
1.61,3.37,7.77,1
-0.9,2.16,10.67,1
-0.16,1.02,11.65,1
0,2.24,10.43,1
-3.84,2.08,12.83,1
-2.08,-0.51,10.36,1
0.27,0.2,8.24,1
0.67,1.84,9.41,1
-1.02,-2.04,10.55,1
0.9,0.63,8,1
0.31,2.9,9.1,1
-2.31,1.73,10.63,1
0.12,2.08,10.79,1
-0.31,2.08,10.94,1
-4.12,-0.98,12.2,1
-0.43,-0.55,9.26,1
0.51,1.8,8.79,1
-0.94,1.33,11.49,1
0.71,-0.2,10.16,1
0.35,3.06,9.34,1
-1.57,2.39,10.32,1
-1.18,-2.16,8.39,1
-0.35,0.31,8.98,1
-1.65,2.51,9.96,1
-2.63,-1.37,11.14,1
0.78,1.37,7.85,1
-0.59,3.37,10,1
-2.47,0.39,11.77,1
-1.18,-1.69,9.85,1
-1.8,0.98,8.28,1
-1.49,-0.12,9.57,1
0.08,-0.16,8.98,1
0.43,1.77,9.49,1
-1.69,1.53,10.47,1
0.39,1.06,9.73,1
-0.63,2.86,9.77,1
-2.28,-0.12,11.65,1
-0.47,-0.71,8.83,1
-0.12,1.84,9.06,1
-2.16,2.67,9.85,1
0.04,0.78,9.53,1
0.31,3.14,8.94,1
-1.02,2.9,10.59,1
-0.9,0.75,10.36,1
0.04,2.67,9.22,1
-2.55,2.59,10.71,1
-1.65,-0.08,10,1
-0.27,0.24,9.49,1
-0.31,1.41,9.61,1
-0.94,-0.75,9.57,1
0.08,1.22,8.59,1
-0.67,2.63,10.12,1
-2,-0.59,11.61,1
-0.9,-0.63,9.49,1
0.86,1.69,8.24,1
-0.98,-2.39,7.96,1
0.43,1.14,8.71,1
0.24,5.18,11.14,1
-3.02,2.39,12.43,1
-1.1,-0.39,12.32,1
0.75,1.73,9.26,1
-2.08,1.1,10.71,1
-1.45,0,10.59,1
-0.35,0.39,9.14,1
0.51,1.8,8.94,1
-1.77,-0.59,9.92,1
-0.08,0.16,9.3,1
-0.31,1.53,9.53,1
-1.88,2,10.83,1
0.43,-0.82,9.69,1
-0.71,2.75,10.04,1
-1.8,-0.67,11.57,1
-1.41,-1.06,9.57,1
1.1,1.65,7.61,1
0.27,3.26,8.98,1
1.22,-2.31,7.22,1
0.39,2.2,8.98,1
-0.31,0.04,9.89,1
0.27,-1.45,12,1
0.82,2.71,8.63,1
0.27,1.02,10.16,1
-2.04,-0.9,11.49,1
-1.49,-0.98,10,1
0.59,1.26,8.16,1
-1.37,-0.63,9.61,1
0.12,0.16,9.02,1
-0.39,1.73,9.73,1
-1.41,1.49,10.4,1
-1.14,-0.63,9.69,1
-0.55,2.75,9.3,1
-2.24,-0.71,11.49,1
-0.75,-0.24,9.53,1
0.47,2.16,8.32,1
-0.71,0.78,9.73,1
0.86,0.98,14.04,1
-1.06,3.02,10.43,1
-2.94,1.14,11.41,1
-2.43,-1.61,10.55,1
0.59,0.08,8.83,1
0.9,1.65,8.08,1
-1.61,-0.59,9.96,1
-0.2,0.16,9.3,1
-0.55,1.65,9.65,1
-1.29,1.69,10.47,1
-1.37,-0.98,9.92,1
-0.55,2.43,8.83,1
-2.2,-0.9,11.49,1
-0.78,-0.2,9.26,1
0.08,2.31,8.55,1
-0.63,2.04,10.79,1
-2.39,-0.47,11.34,1
-0.35,-0.24,8.75,1
-2.16,1.33,8.75,1
-1.02,-1.26,10.16,1
0.08,0.47,9.02,1
-0.2,3.26,9.06,1
-1.57,1.06,11.1,1
1.26,-1.26,10.12,1
